source_document,page,subcommittee,agency,fund,account,row_type,scenario,fiscal_year,amount
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,General Fund,account,actual,2023,439.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Personal Services,account,actual,2023,49325777.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Other Expenses,account,actual,2023,17187223.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Equipment,account,actual,2023,596735.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Flag Restoration,account,actual,2023,227.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Minor Capital Improvements,account,actual,2023,1039875.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Capitol Day Care Center,account,actual,2023,
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Interim Salary/Caucus Offices,account,actual,2023,536102.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Redistricting,account,actual,2023,21676.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,and Engineering,account,actual,2023,103000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Old State House,account,actual,2023,582782.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Translators,account,actual,2023,
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Wall of Fame,account,actual,2023,
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Interstate Conference Fund,account,actual,2023,411049.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Education,account,actual,2023,183750.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Agency Total - General Fund,account,actual,2023,69988196.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,General Fund,account,actual,2023,126.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,Personal Services,account,actual,2023,13068023.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,Other Expenses,account,actual,2023,300662.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,Agency Total - General Fund,account,actual,2023,13368685.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,General Fund,account,actual,2023,8.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,Personal Services,account,actual,2023,721249.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,Other Expenses,account,actual,2023,34125.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,Agency Total - General Fund,account,actual,2023,755374.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Governor's Office,account,actual,2023,3215910.0
