source_document,page,subcommittee,agency,fund,account,row_type,actual_fy23,actual_fy24,appropriation_fy25,governor_fy26,governor_fy27,legislative_fy26,legislative_fy27
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,General Fund,account,439.0,439.0,441.0,441.0,441.0,441.0,441.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Personal Services,account,49325777.0,50658859.0,61511563.0,58925053.0,60328458.0,60694802.0,64296079.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Other Expenses,account,17187223.0,19140708.0,21149147.0,20141147.0,20611147.0,22660836.0,24954131.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Equipment,account,596735.0,1606304.0,3295000.0,3295000.0,3295000.0,3295000.0,3295000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Flag Restoration,account,227.0,1159.0,65000.0,65000.0,65000.0,65000.0,65000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Minor Capital Improvements,account,1039875.0,786128.0,3800000.0,4000000.0,4000000.0,4000000.0,4000000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Capitol Day Care Center,account,,172706.0,,,,,
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Interim Salary/Caucus Offices,account,536102.0,710622.0,582025.0,750556.0,591748.0,750556.0,591748.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Redistricting,account,21676.0,,,,,,
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,and Engineering,account,103000.0,206000.0,212000.0,212000.0,212000.0,219000.0,226000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Old State House,account,582782.0,635688.0,800000.0,800000.0,800000.0,850000.0,900000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Translators,account,,6832.0,150000.0,150000.0,150000.0,150000.0,150000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Wall of Fame,account,,,10000.0,10000.0,10000.0,10000.0,10000.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Interstate Conference Fund,account,411049.0,446809.0,468822.0,502701.0,529095.0,502701.0,529095.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Education,account,183750.0,189263.0,211488.0,218988.0,226488.0,218988.0,226488.0
2025BB-20250827_FY26_FY27.pdf,22,,Office Of Legislative Management,Fund,Agency Total - General Fund,account,69988196.0,74561078.0,92255045.0,89070445.0,90818936.0,93416883.0,99243541.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,General Fund,account,126.0,126.0,126.0,126.0,126.0,126.0,127.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,Personal Services,account,13068023.0,13529760.0,14588644.0,15024310.0,15024310.0,15401961.0,16701328.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,Other Expenses,account,300662.0,592825.0,451727.0,451727.0,622922.0,451727.0,451727.0
2025BB-20250827_FY26_FY27.pdf,27,,Auditors Of Public Accounts,Fund,Agency Total - General Fund,account,13368685.0,14122585.0,15040371.0,15476037.0,15647232.0,15853688.0,17153055.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,General Fund,account,8.0,8.0,8.0,9.0,9.0,9.0,9.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,Personal Services,account,721249.0,790983.0,969868.0,1015452.0,1015452.0,1127850.0,1227933.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,Other Expenses,account,34125.0,48569.0,60000.0,60000.0,60000.0,60000.0,60000.0
2025BB-20250827_FY26_FY27.pdf,29,,,Fund,Agency Total - General Fund,account,755374.0,839552.0,1029868.0,1075452.0,1075452.0,1187850.0,1287933.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Governor's Office,account,3215910.0,3163108.0,4645803.0,4976422.0,4732209.0,4734840.0,4740627.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Secretary of the State,account,12095131.0,13882526.0,13204587.0,12362079.0,12362079.0,17044732.0,15809732.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Office,account,753348.0,837942.0,764845.0,904885.0,904885.0,911921.0,911921.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Commission,account,3452687.0,3193780.0,4233756.0,3925912.0,3925912.0,4257796.0,4255296.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Office of State Ethics,account,1816433.0,1903315.0,1964230.0,2069345.0,2059779.0,2069345.0,2059779.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Commission,account,1983206.0,1761199.0,2211809.0,2283813.0,2283813.0,2283813.0,2283813.0
2025BB-20250827_FY26_FY27.pdf,31,General Government,,General Fund,Accountability,account,2380508.0,2385053.0,3029161.0,3167090.0,3167090.0,4003262.0,3977255.0
