source_document,page_start,page_end,subcommittee,agency,policy_title,fund,account,governor_fy26,governor_fy27,legislative_fy26,legislative_fy27,difference_fy26,difference_fy27,background_text,governor_text,legislative_text
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Total - Insurance Fund (2,022,752)",1623275.0,2997738.0,2925370.0,2933850.0,2734097.0,3125123.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Consumer Counsel and Public Utility Control Fund,"Miscellaneous (1,778,181)",85803.0,193293.0,138975.0,145137.0,,284112.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Consumer Counsel and Public Utility Control Fund,"Management 283,349",269036.0,392665.0,398470.0,398470.0,398470.0,398470.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Consumer Counsel and Public Utility Control Fund,"Administrative Services 185,552",177170.0,198707.0,184308.0,184308.0,184308.0,184308.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Consumer Counsel and Public Utility Control Fund,"Fund (1,309,280)",532009.0,784665.0,721753.0,727915.0,582778.0,866890.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Workers' Compensation Fund,"Miscellaneous (986,237)",15967.0,107617.0,72954.0,76188.0,,149142.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Workers' Compensation Fund,"Administrative Services 1,489,665",1333199.0,1499233.0,1392226.0,1392226.0,1392226.0,1392226.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Workers' Compensation Fund,"Compensation Fund 503,428",1349166.0,1606850.0,1465180.0,1468414.0,1392226.0,1541368.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Criminal Injuries Compensation Fund,"Miscellaneous 15,685",149166.0,,,,,,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Tourism Fund,"Miscellaneous (10,000)",,,,,,,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Cannabis Social Equity and Innovation Fund,"Miscellaneous 26,334",56416.0,,,,,,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Cannabis Prevention and Recovery Services Fund,Miscellaneous -,18650.0,,,,,,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Cannabis Regulatory Fund,Miscellaneous -,245666.0,,,,,,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Cannabis Regulatory Fund,Services -,36892.0,484188.0,,,484188.0,484188.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Cannabis Regulatory Fund,Attorney General -,345137.0,396362.0,,,407309.0,407309.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Cannabis Regulatory Fund,Regulatory Fund -,627695.0,880550.0,,,891497.0,891497.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Municipal Revenue Sharing Fund,Management -,573537355.0,568645047.0,554309674.0,554309674.0,559409674.0,559409674.0,,,
2025BB-20250827_FY26_FY27.pdf,50,50,General Government,,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,Municipal Revenue Sharing Fund,"Total - Appropriated Funds 7,973,285,093",8527403066.0,8515169575.0,8633178080.0,9166816663.0,8349285459.0,9153841403.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Debt Service 1,979,815,182",2185333369.0,1985729226.0,1982214696.0,2041951996.0,1982214696.0,2041951996.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"UConn 2000 - Debt Service 216,188,806",205492442.0,226542388.0,209033862.0,213698862.0,209033862.0,213698862.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"CHEFA Day Care Security 3,667,508",3643210.0,4000000.0,4000000.0,4000000.0,4000000.0,4000000.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Pension Obligation Bonds - TRB 306,680,521",315671921.0,330190921.0,268251771.0,284364458.0,268251771.0,284364458.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Municipal Restructuring 54,098,049",49833072.0,47910459.0,46126129.0,47778925.0,46126129.0,47778925.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Agency Total - General Fund 2,560,450,066",2759974014.0,2594372994.0,2509626458.0,2591794241.0,2509626458.0,2591794241.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Debt Service 810,726,881",862969139.0,951115534.0,914650787.0,1025610574.0,914650787.0,1025610574.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Transportation Fund 810,726,881",862969139.0,951115534.0,914650787.0,1025610574.0,914650787.0,1025610574.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 23 FY 24 FY 25 FY 26 FY 27 FY 26 FY 27,,"Total - Appropriated Funds 3,371,176,947",3622943153.0,3545488528.0,3424277245.0,3617404815.0,3424277245.0,3617404815.0,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Debt Service,-20000000.0,-60000000.0,-20000000.0,-60000000.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total - General Fund,-20000000.0,-60000000.0,-20000000.0,-60000000.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Debt Service,16485470.0,116222770.0,16485470.0,116222770.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,UConn 2000 - Debt Service,-17508526.0,-12843526.0,-17508526.0,-12843526.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Pension Obligation Bonds - TRB,-61939150.0,-45826463.0,-61939150.0,-45826463.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Municipal Restructuring,-1784330.0,-131534.0,-1784330.0,-131534.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total - General Fund,-64746536.0,57421247.0,-64746536.0,57421247.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Debt Service,-36464747.0,74495040.0,-36464747.0,74495040.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total - Special Transportation Fund,-36464747.0,74495040.0,-36464747.0,74495040.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,FY 25 Appropriation - GF,2594372994.0,2594372994.0,2594372994.0,2594372994.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Policy Revisions,-20000000.0,-60000000.0,-20000000.0,-60000000.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Current Services,-64746536.0,57421247.0,-64746536.0,57421247.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total Recommended - GF,2509626458.0,2591794241.0,2509626458.0,2591794241.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,FY 25 Appropriation - TF,951115534.0,951115534.0,951115534.0,951115534.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Current Services,-36464747.0,74495040.0,-36464747.0,74495040.0,,,,,
2025BB-20250827_FY26_FY27.pdf,54,55,General Government,Debt Service - State Treasurer,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total Recommended - TF,914650787.0,1025610574.0,914650787.0,1025610574.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Employers Social Security Tax,56800.0,89300.0,56800.0,89300.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,State Employees Health Service Cost,205100.0,346600.0,205100.0,346600.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Other Post Employment Benefits,22300.0,35000.0,22300.0,35000.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,SERS Defined Contribution Match,7400.0,11600.0,7400.0,11600.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total - General Fund,291600.0,482500.0,291600.0,482500.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,State Employees Health Service Cost,,,122000000.0,,122000000.0,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total - Carry Forward Funding,,,122000000.0,,122000000.0,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,FY 25 Appropriation - GF,3392576245.0,3392576245.0,3392576245.0,3392576245.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Policy Revisions,-4590000.0,-74000900.0,-119390695.0,-63091348.0,-114800695.0,10909552.0,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Current Services,127302193.0,331592207.0,120593405.0,331592207.0,-6708788.0,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Total Recommended - GF,3515288438.0,3650167552.0,3393778955.0,3661077104.0,-121509483.0,10909552.0,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,FY 25 Appropriation - TF,263093929.0,263093929.0,263093929.0,263093929.0,,,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Policy Revisions,149500.0,-2521100.0,293500.0,-2233100.0,144000.0,288000.0,,,
2025BB-20250827_FY26_FY27.pdf,67,67,General Government,State Comptroller - Fringe Benefits,FY 26 FY 27 FY 26 FY 27 FY 26 FY 27,,Current Services,4103414.0,2248690.0,-1690186.0,-6791210.0,-5793600.0,-9039900.0,,,
