page_number,page_type,subcommittee,agency,confidence
18,narrative,Transportation,Part I. Overview,0.3
19,policy_changes,General Government,APPROPRIATIONS CHANGES BY SUBCOMMITTEE,0.9
20,subcommittee_summary,General Government,Legislative ...................................................................................................................................................... 20,0.85
21,narrative,,Legislative,0.3
22,agency_detail,,Permanent Full-Time Positions,0.8
23,narrative,Higher Education,Legislative Management Legislative,0.3
24,narrative,,Governor Recommended Legislative Difference from Governor,0.3
25,narrative,Higher Education,Legislative Management Legislative,0.3
26,narrative,,Totals,0.3
27,agency_detail,,Auditors of Public Accounts Legislative,0.8
28,agency_detail,,Legislative Auditors of Public Accounts,0.8
29,agency_detail,,"Commission on Women, Children, Seniors, Equity and Opportunity Legislative",0.8
30,agency_detail,,"Legislative Commission on Women, Children, Seniors, Equity and Opportunity",0.8
31,agency_detail,General Government,,0.8
32,agency_detail,General Government,Governor’s Office,0.8
33,narrative,General Government,Governor’s Office,0.3
34,agency_detail,General Government,Secretary of the State,0.8
35,agency_detail,General Government,Secretary of the State,0.8
36,agency_detail,General Government,Secretary of the State,0.8
37,agency_detail,General Government,Secretary of the State,0.8
38,agency_detail,General Government,Lieutenant Governor’s Office,0.8
39,narrative,General Government,Lieutenant Governor’s Office,0.3
40,agency_detail,General Government,Elections Enforcement Commission,0.8
41,narrative,General Government,Elections Enforcement Commission,0.3
42,agency_detail,General Government,Office of State Ethics,0.8
43,narrative,General Government,Office of State Ethics,0.3
44,agency_detail,General Government,Freedom of Information Commission,0.8
45,agency_detail,General Government,Office of Governmental Accountability,0.8
46,agency_detail,General Government,Office of Governmental Accountability,0.8
47,agency_detail,General Government,Office of Governmental Accountability,0.8
48,agency_detail,General Government,Office of Governmental Accountability,0.8
49,narrative,General Government,General Government B,0.3
50,policy_changes,General Government,General Government B,0.9
51,narrative,General Government,General Government B,0.3
52,agency_detail,General Government,General Government B State Treasurer,0.8
53,narrative,General Government,State Treasurer General Government B,0.3
54,policy_changes,General Government,General Government B Debt Service - State Treasurer,0.9
55,policy_changes,General Government,Debt Service - State Treasurer General Government B,0.9
56,agency_detail,General Government,General Government B State Comptroller,0.8
57,agency_detail,General Government,State Comptroller General Government B,0.8
58,agency_detail,General Government,General Government B State Comptroller,0.8
59,agency_detail,General Government,State Comptroller - Miscellaneous General Government B,0.8
60,narrative,General Government,General Government B State Comptroller - Miscellaneous,0.3
61,narrative,General Government,State Comptroller - Miscellaneous General Government B,0.3
62,agency_detail,General Government,General Government B State Comptroller - Fringe Benefits,0.8
63,narrative,General Government,State Comptroller - Fringe Benefits General Government B,0.3
64,agency_detail,General Government,General Government B State Comptroller - Fringe Benefits,0.8
65,narrative,General Government,State Comptroller - Fringe Benefits General Government B,0.3
66,narrative,General Government,General Government B State Comptroller - Fringe Benefits,0.3
67,policy_changes,General Government,State Comptroller - Fringe Benefits General Government B,0.9
68,agency_detail,General Government,General Government B Department of Revenue Services,0.8
69,agency_detail,General Government,Department of Revenue Services General Government B,0.8
70,agency_detail,General Government,General Government B Department of Revenue Services,0.8
71,agency_detail,General Government,Office of Policy and Management General Government B,0.8
72,narrative,General Government,General Government B Office of Policy and Management,0.3
73,narrative,General Government,Office of Policy and Management General Government B,0.3
74,policy_changes,General Government,General Government B Office of Policy and Management,0.9
75,narrative,General Government,Office of Policy and Management General Government B,0.3
76,policy_changes,General Government,General Government B Office of Policy and Management,0.9
77,policy_changes,General Government,Office of Policy and Management General Government B,0.9
78,agency_detail,General Government,General Government B Office of Policy and Management,0.8
79,agency_detail,General Government,Reserve for Salary Adjustments General Government B,0.8
80,narrative,General Government,General Government B Reserve for Salary Adjustments,0.3
81,agency_detail,General Government,Department of Administrative Services General Government B,0.8
82,agency_detail,General Government,General Government B Department of Administrative Services,0.8
83,agency_detail,General Government,Department of Administrative Services General Government B,0.8
84,agency_detail,General Government,General Government B Department of Administrative Services,0.8
85,agency_detail,General Government,Department of Administrative Services General Government B,0.8
86,narrative,General Government,General Government B Department of Administrative Services,0.3
87,agency_detail,General Government,Department of Administrative Services General Government B,0.8
88,agency_detail,General Government,General Government B Workers’ Compensation Claims - Administrative Services,0.8
89,narrative,General Government,Workers’ Compensation Claims - Administrative Services General Government B,0.3
90,agency_detail,General Government,General Government B Attorney General,0.8
91,agency_detail,General Government,Attorney General Government B,0.8
92,agency_detail,General Government,General Government B Attorney General,0.8
93,agency_detail,Regulation And Protection,Regulation and Protection,0.8
94,agency_detail,Regulation And Protection,Regulation and Protection Department of Emergency Services and Public Protection,0.8
95,agency_detail,Regulation And Protection,Department of Emergency Services and Public Protection Regulation and Protection,0.8
96,agency_detail,Regulation And Protection,Regulation and Protection Department of Emergency Services and Public Protection,0.8
97,narrative,Regulation And Protection,Department of Emergency Services and Public Protection Regulation and Protection,0.3
98,agency_detail,Regulation And Protection,Regulation and Protection Department of Emergency Services and Public Protection,0.8
99,agency_detail,Regulation And Protection,Department of Banking Regulation and Protection,0.8
100,narrative,Regulation And Protection,Regulation and Protection Department of Banking,0.3
101,agency_detail,Regulation And Protection,Department of Banking Regulation and Protection,0.8
102,agency_detail,Regulation And Protection,Regulation and Protection Insurance Department,0.8
103,narrative,Regulation And Protection,Insurance Department Regulation and Protection,0.3
104,agency_detail,Regulation And Protection,Regulation and Protection Office of the Behavioral Health Advocate,0.8
105,agency_detail,Regulation And Protection,Office of the Behavioral Health Advocate Regulation and Protection,0.8
106,agency_detail,Regulation And Protection,Regulation and Protection Office of the Healthcare Advocate,0.8
107,narrative,Regulation And Protection,Office of the Healthcare Advocate Regulation and Protection,0.3
108,agency_detail,Regulation And Protection,Regulation and Protection Office of the Healthcare Advocate,0.8
109,agency_detail,Regulation And Protection,Department of Consumer Protection Regulation and Protection,0.8
110,agency_detail,Regulation And Protection,Regulation and Protection Department of Consumer Protection,0.8
111,agency_detail,Regulation And Protection,Department of Consumer Protection Regulation and Protection,0.8
112,agency_detail,Regulation And Protection,Regulation and Protection Department of Consumer Protection,0.8
113,agency_detail,Regulation And Protection,Department of Consumer Protection Regulation and Protection,0.8
114,policy_changes,Regulation And Protection,Regulation and Protection Commission on Human Rights and Opportunities,0.9
115,agency_detail,Regulation And Protection,Commission on Human Rights and Opportunities Regulation and Protection,0.8
116,agency_detail,Regulation And Protection,Regulation and Protection Workers’ Compensation Commission,0.8
117,narrative,Regulation And Protection,Workers’ Compensation Commission Regulation and Protection,0.3
118,narrative,Conservation And Development,Conservation and Development,0.3
119,agency_detail,Conservation And Development,Conservation and Development,0.8
120,policy_changes,Conservation And Development,Conservation and Development Office of Consumer Counsel,0.9
121,agency_detail,Conservation And Development,Office of Consumer Counsel Conservation and Development,0.8
122,agency_detail,Conservation And Development,Conservation and Development Office of Consumer Counsel,0.8
123,agency_detail,Conservation And Development,Labor Department Conservation and Development,0.8
124,agency_detail,Conservation And Development,Conservation and Development Labor Department,0.8
125,agency_detail,Conservation And Development,Labor Department Conservation and Development,0.8
126,agency_detail,Conservation And Development,Conservation and Development Labor Department,0.8
127,agency_detail,Conservation And Development,Labor Department Conservation and Development,0.8
128,agency_detail,General Government,Conservation and Development Labor Department,0.8
129,agency_detail,Conservation And Development,Labor Department Conservation and Development,0.8
130,agency_detail,Conservation And Development,Conservation and Development Labor Department,0.8
131,agency_detail,Conservation And Development,Department of Agriculture Conservation and Development,0.8
132,agency_detail,Conservation And Development,Conservation and Development Department of Agriculture,0.8
133,agency_detail,Conservation And Development,Department of Agriculture Conservation and Development,0.8
134,agency_detail,Conservation And Development,Conservation and Development Department of Energy and Environmental Protection,0.8
135,policy_changes,Conservation And Development,Department of Energy and Environmental Protection Conservation and Development,0.9
136,agency_detail,Conservation And Development,Conservation and Development Department of Energy and Environmental Protection,0.8
137,narrative,Conservation And Development,Department of Energy and Environmental Protection Conservation and Development,0.3
138,agency_detail,Conservation And Development,Conservation and Development Department of Energy and Environmental Protection,0.8
139,agency_detail,Conservation And Development,Department of Energy and Environmental Protection Conservation and Development,0.8
140,agency_detail,Conservation And Development,Conservation and Development Department of Economic and Community Development,0.8
141,narrative,Conservation And Development,Department of Economic and Community Development Conservation and Development,0.3
142,agency_detail,Conservation And Development,Conservation and Development Department of Economic and Community Development,0.8
143,agency_detail,Conservation And Development,Department of Economic and Community Development Conservation and Development,0.8
144,narrative,Conservation And Development,Conservation and Development Department of Economic and Community Development,0.3
145,narrative,Conservation And Development,Department of Economic and Community Development Conservation and Development,0.3
146,narrative,Conservation And Development,Conservation and Development Department of Economic and Community Development,0.3
147,agency_detail,Conservation And Development,Department of Economic and Community Development Conservation and Development,0.8
148,narrative,Conservation And Development,Conservation and Development Department of Economic and Community Development,0.3
149,narrative,Conservation And Development,Department of Economic and Community Development Conservation and Development,0.3
150,narrative,Conservation And Development,Conservation and Development Department of Economic and Community Development,0.3
151,narrative,Conservation And Development,Department of Economic and Community Development Conservation and Development,0.3
152,agency_detail,Conservation And Development,Conservation and Development Department of Housing,0.8
153,agency_detail,Conservation And Development,Department of Housing Conservation and Development,0.8
154,agency_detail,Conservation And Development,Conservation and Development Department of Housing,0.8
155,narrative,Human Services,Department of Housing Conservation and Development,0.3
156,agency_detail,Conservation And Development,Conservation and Development Department of Housing,0.8
157,agency_detail,Conservation And Development,Agricultural Experiment Station Conservation and Development,0.8
158,agency_detail,Conservation And Development,Conservation and Development Agricultural Experiment Station,0.8
159,agency_detail,Conservation And Development,Agricultural Experiment Station Conservation and Development,0.8
160,agency_detail,,Health,0.8
161,narrative,,Health,0.3
162,agency_detail,,Health Department of Public Health,0.8
163,narrative,,Department of Public Health,0.3
164,agency_detail,Transportation,Health Department of Public Health,0.8
165,agency_detail,,Department of Public Health,0.8
166,agency_detail,,Health Department of Public Health,0.8
167,policy_changes,Human Services,Department of Public Health,0.9
168,agency_detail,,Health Department of Public Health,0.8
169,agency_detail,,Office of Health Strategy Health,0.8
170,agency_detail,,Health Office of Health Strategy,0.8
171,agency_detail,Human Services,Office of Health Strategy Health,0.8
172,agency_detail,Transportation,Health Office of Health Strategy,0.8
173,agency_detail,,Office of Health Strategy Health,0.8
174,agency_detail,,Health Office of the Chief Medical Examiner,0.8
175,narrative,,Office of the Chief Medical Examiner Health,0.3
176,agency_detail,,Health Department of Developmental Services,0.8
177,agency_detail,Transportation,Department of Developmental Services Health,0.8
178,narrative,Human Services,Health Department of Developmental Services,0.3
179,agency_detail,,Department of Developmental Services Health,0.8
180,agency_detail,,Health Department of Mental Health and Addiction Services,0.8
181,agency_detail,,Department of Mental Health and Addiction Services Health,0.8
