agency,section,program,line_item,value_label,fiscal_year,amount,page
General Fund / Statewide,General Table,General Table,Appropriations,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Appropriations,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Appropriations,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Components,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Components,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Components,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation Fund,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation Fund,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation Fund,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Special Transportation FY 26,General Fund,,26.0,7
General Fund / Statewide,General Table,General Table,Special Transportation FY 26,Other Appropriated,,26.0,7
General Fund / Statewide,General Table,General Table,Special Transportation FY 26,All Appropriated,,26.0,7
General Fund / Statewide,General Table,General Table,Base Estimates,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Base Estimates,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Base Estimates,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Revenue,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Revenue,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Revenue,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Beginning Balance,General Fund,,-272.0,7
General Fund / Statewide,General Table,General Table,Beginning Balance,Special Transportation,,-55.2,7
General Fund / Statewide,General Table,General Table,Beginning Balance,Other Appropriated,,-103.2,7
General Fund / Statewide,General Table,General Table,Beginning Balance,All Appropriated,,-430.4,7
General Fund / Statewide,General Table,General Table,Budget Changes,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Budget Changes,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Budget Changes,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,+Revenue,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,+Revenue,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,+Revenue,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Net Change,General Fund,,580.8,7
General Fund / Statewide,General Table,General Table,Net Change,Special Transportation,,85.1,7
General Fund / Statewide,General Table,General Table,Net Change,Other Appropriated,,116.5,7
General Fund / Statewide,General Table,General Table,Net Change,All Appropriated,,782.3,7
General Fund / Statewide,General Table,General Table,Final Budget,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Final Budget,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Final Budget,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,General Fund,,308.9,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,Special Transportation,,29.8,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,Other Appropriated,,13.2,7
General Fund / Statewide,General Table,General Table,BUDGET BALANCE,All Appropriated,,352.0,7
General Fund / Statewide,General Table,General Table,Reserve Revenue Cap,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Reserve Revenue Cap,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Reserve Revenue Cap,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Balance after Revenue Cap,General Fund,,0.0,7
General Fund / Statewide,General Table,General Table,Balance after Revenue Cap,Other Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Balance after Revenue Cap,All Appropriated,,0.0,7
General Fund / Statewide,General Table,General Table,Income Tax,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Income Tax,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Sales Tax,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Sales Tax,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,All Other,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,All Other,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Revenue Source TOTAL,FY 2026,2026,-156.2,9
General Fund / Statewide,General Table,General Table,Revenue Source TOTAL,FY 2027,2027,-164.2,9
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Adjust Volatility Cap Threshold,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Hospital Tax Rebase & Match on Hospital Supplemental Payments,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Hospital Tax Rebase & Match on Hospital Supplemental Payments,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2026,2026,0.0,9
General Fund / Statewide,General Table,General Table,Corporation Tax Changes,FY 2027,2027,0.0,9
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2026,2026,562.5,9
General Fund / Statewide,General Table,General Table,Major Policies TOTAL,FY 2027,2027,1473.8,9
General Fund / Statewide,General Table,General Table,FY 25 Appropriations,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,FY 25 Appropriations,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,FY 25 Appropriations,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Current Services Adjustment,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Current Services Adjustment,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Current Services Adjustment,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Base Expenditures,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Base Expenditures,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Base Expenditures,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Unspecified,All Appropriated Funds,,0.0,10
General Fund / Statewide,General Table,General Table,Unspecified,FY 2026,2026,27180.5,10
General Fund / Statewide,General Table,General Table,Unspecified,FY 2027,2027,28635.1,10
General Fund / Statewide,General Table,General Table,Fixed Costs,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Fixed Costs,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Current Services Changes,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Current Services Changes,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions (PR),FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Policy Revisions (PR),FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Policy Revisions,FY 2026,2026,0.0,10
General Fund / Statewide,General Table,General Table,Subtotal Policy Revisions,FY 2027,2027,0.0,10
General Fund / Statewide,General Table,General Table,TOTAL,FY 2026,2026,1186.0,10
General Fund / Statewide,General Table,General Table,TOTAL,FY 2027,2027,2640.6,10
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Non-Fixed Costs,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Conservation and Development,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Element. & Secondary Education,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Total,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentA,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Total,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,General GovernmentB,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Health,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Health,Policy Revisions,,0.0,12
General Fund / Statewide,General Table,General Table,Health,Total,,0.0,12
General Fund / Statewide,General Table,General Table,Health,FY 2027 Current Services,2027,0.0,12
General Fund / Statewide,General Table,General Table,Health,Policy Revisions_1,,0.0,12
General Fund / Statewide,General Table,General Table,Health,Total_1,,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,FY 2026 Current Services,2026,0.0,12
General Fund / Statewide,General Table,General Table,Higher Education,Policy Revisions,,0.0,12
