group_id,action,reason,merged_rows,agency,line_item,value_label,fiscal_year,amount,pages,section_variants,program_variants,notes
1,merged,exact_duplicate,2,General Fund / Statewide,Revenue,General Fund,,0.0,7,General Table,General Table,Identical rows collapsed
2,merged,exact_duplicate,2,General Fund / Statewide,Revenue,Other Appropriated,,0.0,7,General Table,General Table,Identical rows collapsed
3,merged,exact_duplicate,2,General Fund / Statewide,Revenue,All Appropriated,,0.0,7,General Table,General Table,Identical rows collapsed
4,merged,exact_duplicate,2,General Fund / Statewide,Appropriations,General Fund,,0.0,7,General Table,General Table,Identical rows collapsed
5,merged,exact_duplicate,2,General Fund / Statewide,Appropriations,Other Appropriated,,0.0,7,General Table,General Table,Identical rows collapsed
6,merged,exact_duplicate,2,General Fund / Statewide,Appropriations,All Appropriated,,0.0,7,General Table,General Table,Identical rows collapsed
7,merged,exact_duplicate,2,General Fund / Statewide,All Other,FY 26,2026,0.0,9,General Table,General Table,Identical rows collapsed
8,merged,exact_duplicate,2,General Fund / Statewide,All Other,FY 27,2027,0.0,9,General Table,General Table,Identical rows collapsed
9,merged,exact_duplicate,2,General Fund / Statewide,Fixed Costs,FY 26,2026,0.0,10,General Table,General Table,Identical rows collapsed
10,merged,exact_duplicate,2,General Fund / Statewide,Fixed Costs,FY 27,2027,0.0,10,General Table,General Table,Identical rows collapsed
11,merged,exact_duplicate,2,General Fund / Statewide,Non-Fixed Costs,FY 26,2026,0.0,10,General Table,General Table,Identical rows collapsed
12,merged,exact_duplicate,2,General Fund / Statewide,Non-Fixed Costs,FY 27,2027,0.0,10,General Table,General Table,Identical rows collapsed
13,merged,exact_duplicate,2,General Fund / Statewide,Element. & Secondary Education,FY 26 Current Services,2026,0.0,12,General Table,General Table,Identical rows collapsed
14,merged,exact_duplicate,2,General Fund / Statewide,Element. & Secondary Education,Policy Revisions,,0.0,12,General Table,General Table,Identical rows collapsed
15,merged,exact_duplicate,2,General Fund / Statewide,Element. & Secondary Education,Total,,0.0,12,General Table,General Table,Identical rows collapsed
16,merged,exact_duplicate,2,General Fund / Statewide,Element. & Secondary Education,FY 27 Current Services,2027,0.0,12,General Table,General Table,Identical rows collapsed
17,merged,exact_duplicate,2,General Fund / Statewide,Element. & Secondary Education,Policy Revisions_1,,0.0,12,General Table,General Table,Identical rows collapsed
18,merged,exact_duplicate,2,General Fund / Statewide,Element. & Secondary Education,Total_1,,0.0,12,General Table,General Table,Identical rows collapsed
19,merged,exact_duplicate,2,General Fund / Statewide,General GovernmentB,FY 26 Current Services,2026,0.0,12,General Table,General Table,Identical rows collapsed
20,merged,exact_duplicate,2,General Fund / Statewide,General GovernmentB,Policy Revisions,,0.0,12,General Table,General Table,Identical rows collapsed
21,merged,exact_duplicate,2,General Fund / Statewide,General GovernmentB,Total,,0.0,12,General Table,General Table,Identical rows collapsed
22,merged,exact_duplicate,2,General Fund / Statewide,General GovernmentB,FY 27 Current Services,2027,0.0,12,General Table,General Table,Identical rows collapsed
23,merged,exact_duplicate,2,General Fund / Statewide,General GovernmentB,Policy Revisions_1,,0.0,12,General Table,General Table,Identical rows collapsed
24,merged,exact_duplicate,2,General Fund / Statewide,General GovernmentB,Total_1,,0.0,12,General Table,General Table,Identical rows collapsed
25,merged,exact_duplicate,2,General Fund / Statewide,Health,FY 26 Current Services,2026,0.0,12,General Table,General Table,Identical rows collapsed
26,merged,exact_duplicate,2,General Fund / Statewide,Health,Policy Revisions,,0.0,12,General Table,General Table,Identical rows collapsed
27,merged,exact_duplicate,2,General Fund / Statewide,Health,Total,,0.0,12,General Table,General Table,Identical rows collapsed
28,merged,exact_duplicate,2,General Fund / Statewide,Health,FY 27 Current Services,2027,0.0,12,General Table,General Table,Identical rows collapsed
29,merged,exact_duplicate,2,General Fund / Statewide,Health,Policy Revisions_1,,0.0,12,General Table,General Table,Identical rows collapsed
30,merged,exact_duplicate,2,General Fund / Statewide,Health,Total_1,,0.0,12,General Table,General Table,Identical rows collapsed
31,merged,exact_duplicate,2,General Fund / Statewide,Human Services,FY 26 Current Services,2026,0.0,12,General Table,General Table,Identical rows collapsed
32,merged,exact_duplicate,2,General Fund / Statewide,Human Services,Policy Revisions,,0.0,12,General Table,General Table,Identical rows collapsed
33,merged,exact_duplicate,2,General Fund / Statewide,Human Services,Total,,0.0,12,General Table,General Table,Identical rows collapsed
34,merged,exact_duplicate,2,General Fund / Statewide,Human Services,FY 27 Current Services,2027,0.0,12,General Table,General Table,Identical rows collapsed
35,merged,exact_duplicate,2,General Fund / Statewide,Human Services,Policy Revisions_1,,0.0,12,General Table,General Table,Identical rows collapsed
36,merged,exact_duplicate,2,General Fund / Statewide,Human Services,Total_1,,0.0,12,General Table,General Table,Identical rows collapsed
